Address,Tokens
iota1qpfgd5jvf6lq3q2zsmcrapfj0cx37609xkxvw0sxvf53d228puf42cngmf6,"36,030,948,112,963"
iota1qr9nv9l36636xvcpkvntvpm8uav5pe3wvgme55hyx92yn54qc5tsv9a9y45,"27,023,211,084,722"
iota1qpdt55wn65hysu5w3jwn40tx9l84n7utd5zkj5dvuygn084m22j9jjjee50,"18,015,474,056,482"
iota1qr9nv9l36636xvcpkvntvpm8uav5pe3wvgme55hyx92yn54qc5tsv9a9y45,"9,007,737,028,241"
iota1qpfgd5jvf6lq3q2zsmcrapfj0cx37609xkxvw0sxvf53d228puf42cngmf6,"9,007,737,028,241"
iota1qpnlf79fayfgmm208kuej5kp6n2u0dcfhha8vt7y2cxphg3wu33x6pfdurm,"9,007,737,028,241"
iota1qqyc822ngzsh9psd8cee3sagzac6w0dy5ulnpup4x0avvxnhkqm3gtm5m6w,"6,305,415,919,769"
iota1qqyc822ngzsh9psd8cee3sagzac6w0dy5ulnpup4x0avvxnhkqm3gtm5m6w,"4,828,147,047,137"
iota1qpnlf79fayfgmm208kuej5kp6n2u0dcfhha8vt7y2cxphg3wu33x6pfdurm,"4,503,868,514,120"
iota1qpnlf79fayfgmm208kuej5kp6n2u0dcfhha8vt7y2cxphg3wu33x6pfdurm,"4,503,868,514,120"
iota1qpnlf79fayfgmm208kuej5kp6n2u0dcfhha8vt7y2cxphg3wu33x6pfdurm,"4,503,868,514,120"
iota1qzvul3clml0c7nqhuk30a6xpl36xuqgsv730ayjrd8sc99ks9lw3kxk2s88,"4,503,868,514,120"
iota1qpvvwctwqqjks42qxd9ar39cnhe4xruu7t37mh8aec7ysqf8pe6rx5gd5am,"3,332,862,700,449"
iota1qpnlf79fayfgmm208kuej5kp6n2u0dcfhha8vt7y2cxphg3wu33x6pfdurm,"2,702,321,108,472"
iota1qpdt55wn65hysu5w3jwn40tx9l84n7utd5zkj5dvuygn084m22j9jjjee50,"2,702,321,108,472"
iota1qqyc822ngzsh9psd8cee3sagzac6w0dy5ulnpup4x0avvxnhkqm3gtm5m6w,"2,378,042,575,456"
iota1qq6sgu7qm8ndgm4a08u8wv90jrlq5z9dn36z42z30vlvax9ss85nguunw5c,"2,251,934,257,060"
iota1qpdt55wn65hysu5w3jwn40tx9l84n7utd5zkj5dvuygn084m22j9jjjee50,"2,251,934,257,060"
iota1qq6sgu7qm8ndgm4a08u8wv90jrlq5z9dn36z42z30vlvax9ss85nguunw5c,"1,801,547,405,648"
iota1qpdt55wn65hysu5w3jwn40tx9l84n7utd5zkj5dvuygn084m22j9jjjee50,"1,801,547,405,648"
iota1qq6sgu7qm8ndgm4a08u8wv90jrlq5z9dn36z42z30vlvax9ss85nguunw5c,"1,621,392,665,083"
iota1qq6sgu7qm8ndgm4a08u8wv90jrlq5z9dn36z42z30vlvax9ss85nguunw5c,"1,351,160,554,236"
iota1qzvul3clml0c7nqhuk30a6xpl36xuqgsv730ayjrd8sc99ks9lw3kxk2s88,"900,773,702,824"
iota1qzvul3clml0c7nqhuk30a6xpl36xuqgsv730ayjrd8sc99ks9lw3kxk2s88,"900,773,702,824"
iota1qzvul3clml0c7nqhuk30a6xpl36xuqgsv730ayjrd8sc99ks9lw3kxk2s88,"900,773,702,824"
